,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
62,TXN_9023317,Salad,1,5.0,5.0,DK/NS,DK/NS,2023-09-30
63,TXN_8051289,DK/NS,1,3.0,3.0,DK/NS,In-store,2023-10-09
64,TXN_2537617,Sandwich,1,4.0,4.0,Cash,DK/NS,2023-05-27
65,TXN_9099694,Salad,3,5.0,15.0,DK/NS,Takeaway,2023-11-18
66,TXN_9230615,Smoothie,4,4.0,16.0,Digital Wallet,DK/NS,2023-06-01
68,TXN_8501819,Juice,2,3.0,6.0,Cash,DK/NS,2023-03-30
69,TXN_3068204,Cookie,1,1.0,1.0,Credit Card,Takeaway,2023-10-03
70,TXN_8427104,Salad,2,5.0,10.0,DK/NS,In-store,2023-10-27
71,TXN_8471743,DK/NS,5,3.0,15.0,Digital Wallet,In-store,2023-04-06
72,TXN_2621580,Tea,2,1.5,3.0,Cash,In-store,2023-03-22
73,TXN_4726376,Cake,2,3.0,6.0,Credit Card,In-store,2023-01-31
74,TXN_6044979,Cookie,1,1.0,1.0,Cash,In-store,2023-12-08
75,TXN_4238417,Salad,2,5.0,10.0,DK/NS,DK/NS,2023-06-19
76,TXN_1900620,Smoothie,2,4.0,8.0,Credit Card,DK/NS,2023-12-14
77,TXN_6420335,Coffee,1,2.0,2.0,Cash,Takeaway,2023-07-16
78,TXN_3858209,Sandwich,4,4.0,16.0,Cash,DK/NS,2023-02-22
79,TXN_2091733,Salad,1,5.0,5.0,DK/NS,In-store,
80,TXN_8735480,Tea,5,1.5,7.5,Cash,DK/NS,2023-06-02
81,TXN_3829165,Juice,4,3.0,12.0,Cash,In-store,2023-06-15
82,TXN_3748616,Coffee,2,2.0,4.0,Credit Card,In-store,2023-12-09
83,TXN_1993289,Sandwich,2,4.0,8.0,DK/NS,In-store,2023-04-18
84,TXN_2123367,Cookie,2,1.0,2.0,DK/NS,DK/NS,2023-11-07
85,TXN_5266394,Cake,3,3.0,9.0,Cash,In-store,2023-10-28
86,TXN_5107946,Cake,4,3.0,12.0,Credit Card,DK/NS,2023-12-22
87,TXN_8035512,Tea,3,1.5,4.5,Cash,DK/NS,2023-10-29
88,TXN_8718498,Cake,5,3.0,15.0,Credit Card,DK/NS,2023-04-30
89,TXN_3955361,Cookie,5,1.0,5.0,DK/NS,Takeaway,2023-04-02
90,TXN_9487821,Salad,1,5.0,5.0,Digital Wallet,Takeaway,2023-05-24
91,TXN_4132730,Cookie,5,1.0,5.0,DK/NS,In-store,2023-03-12
92,TXN_8976658,Tea,2,1.5,3.0,Credit Card,In-store,2023-08-16
93,TXN_5455936,DK/NS,5,3.0,15.0,DK/NS,In-store,2023-10-28
94,TXN_2725602,Juice,5,3.0,15.0,Credit Card,DK/NS,2023-09-10
95,TXN_3011323,Coffee,3,2.0,6.0,Credit Card,DK/NS,2023-03-07
96,TXN_6289610,Juice,3,3.0,9.0,Cash,Takeaway,2023-08-07
97,TXN_8268061,Salad,3,5.0,15.0,DK/NS,Takeaway,2023-08-20
98,TXN_5220895,Salad,5,5.0,25.0,Cash,In-store,2023-06-10
99,TXN_3085509,Coffee,4,2.0,8.0,Digital Wallet,In-store,2023-04-15
100,TXN_9999113,Juice,4,3.0,12.0,Cash,Takeaway,2023-05-27
101,TXN_8779771,Coffee,4,2.0,8.0,Cash,In-store,2023-07-25
102,TXN_9517146,Salad,5,5.0,25.0,Cash,Takeaway,2023-10-30
103,TXN_1621920,Salad,3,5.0,15.0,DK/NS,Takeaway,2023-10-28
104,TXN_3808639,Juice,2,3.0,6.0,Digital Wallet,Takeaway,2023-12-15
105,TXN_7028009,Cake,4,3.0,12.0,DK/NS,Takeaway,
106,TXN_7447872,Juice,2,3.0,6.0,DK/NS,DK/NS,
107,TXN_6955416,Salad,4,5.0,20.0,DK/NS,In-store,2023-02-25
108,TXN_3775339,Cookie,3,1.0,3.0,Credit Card,DK/NS,2023-04-03
109,TXN_9547091,Cookie,3,1.0,3.0,Credit Card,DK/NS,2023-10-08
110,TXN_4358673,Cookie,5,1.0,5.0,Digital Wallet,Takeaway,2023-12-28
111,TXN_4174591,Tea,4,1.5,6.0,Digital Wallet,DK/NS,2023-08-30
112,TXN_3398520,Sandwich,1,4.0,4.0,DK/NS,In-store,2023-02-03
113,TXN_6171384,Smoothie,2,4.0,8.0,Credit Card,DK/NS,2023-09-12
114,TXN_2530938,Smoothie,5,4.0,20.0,DK/NS,Takeaway,2023-04-27
115,TXN_3314971,Juice,3,3.0,9.0,Digital Wallet,DK/NS,2023-05-04
116,TXN_3092382,Coffee,5,2.0,10.0,Digital Wallet,DK/NS,2023-02-21
117,TXN_1001832,Salad,2,5.0,10.0,Cash,Takeaway,
118,TXN_1535311,Juice,3,3.0,9.0,Cash,DK/NS,2023-03-16
119,TXN_2148617,Juice,3,3.0,9.0,Digital Wallet,DK/NS,2023-01-10
120,TXN_4633784,DK/NS,5,3.0,15.0,DK/NS,In-store,2023-02-06
121,TXN_4368416,Salad,2,5.0,10.0,Credit Card,Takeaway,2023-02-24
122,TXN_9790731,Cake,2,3.0,6.0,DK/NS,DK/NS,2023-06-02
123,TXN_9339456,Coffee,3,2.0,6.0,DK/NS,Takeaway,2023-03-29
124,TXN_5179020,Cake,2,3.0,6.0,DK/NS,Takeaway,2023-06-18
125,TXN_6258471,Coffee,5,2.0,10.0,Digital Wallet,In-store,2023-09-23
126,TXN_7945375,Juice,3,3.0,9.0,DK/NS,DK/NS,2023-01-14
127,TXN_4685453,Tea,4,1.5,6.0,Cash,In-store,2023-09-14
128,TXN_9646452,Juice,5,3.0,15.0,Credit Card,DK/NS,2023-09-16
129,TXN_9096052,Smoothie,4,4.0,16.0,Credit Card,Takeaway,2023-12-28
130,TXN_5916991,Juice,2,3.0,6.0,Digital Wallet,Takeaway,2023-02-06
131,TXN_3407169,Sandwich,2,4.0,8.0,Cash,In-store,2023-03-11
132,TXN_2277042,Tea,1,1.5,1.5,Cash,DK/NS,2023-04-08
133,TXN_9273729,Tea,1,1.5,1.5,DK/NS,DK/NS,2023-12-19
134,TXN_2181545,Juice,4,3.0,12.0,Credit Card,Takeaway,2023-07-14
135,TXN_1150033,Juice,5,3.0,15.0,Cash,In-store,2023-04-18
136,TXN_1443912,Juice,2,3.0,6.0,DK/NS,DK/NS,2023-06-08
137,TXN_8700451,Tea,5,1.5,7.5,Credit Card,Takeaway,2023-12-12
138,TXN_6380550,Coffee,5,2.0,10.0,Cash,In-store,2023-01-05
139,TXN_4885518,Salad,3,5.0,15.0,Credit Card,In-store,2023-06-10
140,TXN_3972167,Sandwich,5,4.0,20.0,DK/NS,In-store,2023-01-23
141,TXN_4878378,Tea,1,1.5,1.5,Credit Card,DK/NS,2023-02-20
142,TXN_2484241,Cake,3,3.0,9.0,Digital Wallet,DK/NS,2023-07-19
143,TXN_2368126,Cake,5,3.0,15.0,DK/NS,In-store,2023-12-06
144,TXN_7943008,Coffee,1,2.0,2.0,Credit Card,DK/NS,
145,TXN_8495063,Juice,1,3.0,3.0,Cash,DK/NS,2023-05-31
146,TXN_4811133,Salad,2,5.0,10.0,Cash,DK/NS,2023-08-11
147,TXN_8729570,Tea,5,1.5,7.5,DK/NS,In-store,2023-09-03
148,TXN_7623634,Cake,2,3.0,6.0,Credit Card,In-store,2023-07-11
149,TXN_9336980,Salad,4,5.0,20.0,Cash,In-store,2023-06-06
150,TXN_3424331,Cake,4,3.0,12.0,DK/NS,DK/NS,2023-01-18
151,TXN_5072031,Cake,2,3.0,6.0,Cash,Takeaway,2023-03-23
152,TXN_8687151,Salad,5,5.0,25.0,Cash,DK/NS,2023-06-10
153,TXN_4031509,DK/NS,4,4.0,16.0,Credit Card,Takeaway,2023-01-04
154,TXN_5265095,Coffee,1,2.0,2.0,DK/NS,DK/NS,2023-06-23
155,TXN_6541415,DK/NS,4,3.0,12.0,Cash,In-store,2023-11-25
156,TXN_4108138,Coffee,5,2.0,10.0,Cash,DK/NS,2023-08-03
157,TXN_1909796,Smoothie,2,4.0,8.0,DK/NS,Takeaway,2023-07-12
158,TXN_1928241,Coffee,3,2.0,6.0,Cash,In-store,2023-04-30
159,TXN_4283157,Salad,5,5.0,25.0,Digital Wallet,In-store,2023-11-25
160,TXN_8013032,Coffee,2,2.0,4.0,Credit Card,DK/NS,2023-03-07
161,TXN_8301424,Juice,2,3.0,6.0,DK/NS,DK/NS,2023-06-27
162,TXN_1093800,Sandwich,3,4.0,12.0,Cash,Takeaway,
163,TXN_7965998,Juice,1,3.0,3.0,Credit Card,In-store,2023-11-02
164,TXN_9238666,Cookie,1,1.0,1.0,DK/NS,Takeaway,2023-07-31
165,TXN_1631695,Tea,2,1.5,3.0,DK/NS,In-store,2023-09-19
166,TXN_1435086,Cake,5,3.0,15.0,DK/NS,DK/NS,2023-02-09
167,TXN_3226832,DK/NS,5,4.0,20.0,Cash,DK/NS,2023-09-04
168,TXN_1648671,Sandwich,3,4.0,12.0,Cash,Takeaway,2023-05-21
169,TXN_4062737,Cake,3,3.0,9.0,Cash,In-store,2023-07-02
170,TXN_3494565,DK/NS,2,4.0,8.0,DK/NS,DK/NS,2023-07-10
171,TXN_9249507,Cookie,4,1.0,4.0,Credit Card,In-store,2023-11-21
172,TXN_4689500,Sandwich,4,4.0,16.0,DK/NS,DK/NS,2023-12-02
173,TXN_8989148,Tea,2,1.5,3.0,DK/NS,DK/NS,2023-11-25
174,TXN_8316826,Coffee,3,2.0,6.0,DK/NS,In-store,2023-04-17
175,TXN_9836934,Cookie,3,1.0,3.0,Digital Wallet,In-store,2023-03-13
176,TXN_8005489,Cake,3,3.0,9.0,DK/NS,In-store,2023-08-12
177,TXN_6463132,Cookie,5,1.0,5.0,Credit Card,Takeaway,
178,TXN_3925836,Cookie,3,1.0,3.0,Digital Wallet,In-store,2023-02-16
179,TXN_1896955,Salad,5,5.0,25.0,DK/NS,In-store,2023-09-23
180,TXN_5075974,Smoothie,4,4.0,16.0,Digital Wallet,DK/NS,2023-04-11
181,TXN_3978874,Smoothie,5,4.0,20.0,Credit Card,In-store,2023-03-13
182,TXN_8955912,Sandwich,1,4.0,4.0,DK/NS,DK/NS,2023-11-07
183,TXN_1136554,Smoothie,3,4.0,12.0,DK/NS,Takeaway,2023-03-26
184,TXN_8007337,Cake,2,3.0,6.0,Digital Wallet,Takeaway,2023-11-01
185,TXN_8129834,Salad,1,5.0,5.0,Cash,DK/NS,2023-07-22
186,TXN_3831848,DK/NS,1,4.0,4.0,Digital Wallet,Takeaway,2023-11-03
187,TXN_5365809,Cake,3,3.0,9.0,Cash,In-store,2023-09-14
188,TXN_8166407,Smoothie,2,4.0,8.0,DK/NS,DK/NS,2023-07-26
189,TXN_6629480,Smoothie,5,4.0,20.0,Credit Card,In-store,2023-02-28
190,TXN_3833797,Coffee,4,2.0,8.0,DK/NS,In-store,2023-01-27
191,TXN_2643815,Cookie,3,1.0,3.0,DK/NS,DK/NS,2023-12-06
192,TXN_2996519,Cake,5,3.0,15.0,Cash,DK/NS,2023-01-19
193,TXN_8810894,Smoothie,1,4.0,4.0,DK/NS,DK/NS,2023-02-20
194,TXN_7412722,Juice,4,3.0,12.0,Cash,In-store,2023-04-07
195,TXN_3937509,Smoothie,2,4.0,8.0,DK/NS,In-store,2023-03-20
196,TXN_6000201,Cookie,3,1.0,3.0,Cash,Takeaway,2023-02-16
197,TXN_1714274,Cookie,4,1.0,4.0,DK/NS,In-store,2023-12-27
198,TXN_3800182,Tea,2,1.5,3.0,Cash,In-store,2023-10-26
199,TXN_5115080,DK/NS,5,3.0,15.0,Credit Card,DK/NS,2023-02-18
200,TXN_9788956,Juice,4,3.0,12.0,DK/NS,DK/NS,2023-04-11
201,TXN_6311602,Juice,3,3.0,9.0,Credit Card,DK/NS,2023-05-15
202,TXN_2950680,Coffee,2,2.0,4.0,Credit Card,Takeaway,2023-12-10
203,TXN_6749847,Cake,2,3.0,6.0,Credit Card,DK/NS,2023-08-15
204,TXN_2143187,Smoothie,1,4.0,4.0,DK/NS,In-store,2023-04-21
205,TXN_8964522,DK/NS,3,3.0,9.0,Credit Card,Takeaway,2023-10-28
206,TXN_4088917,Coffee,3,2.0,6.0,Cash,Takeaway,2023-02-04
207,TXN_3779366,Cookie,1,1.0,1.0,Digital Wallet,In-store,2023-04-15
208,TXN_7724048,Smoothie,1,4.0,4.0,DK/NS,In-store,2023-11-12
209,TXN_2698591,Tea,5,1.5,7.5,DK/NS,DK/NS,2023-08-05
210,TXN_3171373,Smoothie,3,4.0,12.0,Credit Card,In-store,2023-05-10
211,TXN_4129248,Sandwich,2,4.0,8.0,Credit Card,DK/NS,
212,TXN_6498163,Smoothie,5,4.0,20.0,DK/NS,In-store,2023-07-15
213,TXN_6717827,Salad,3,5.0,15.0,Digital Wallet,DK/NS,2023-11-15
214,TXN_9089898,Salad,3,5.0,15.0,Credit Card,DK/NS,2023-01-11
215,TXN_8587583,Cake,1,3.0,3.0,DK/NS,DK/NS,2023-10-01
216,TXN_8693704,Salad,5,5.0,25.0,Cash,In-store,2023-05-04
217,TXN_3857960,Salad,4,5.0,20.0,Cash,In-store,2023-04-26
218,TXN_3499124,DK/NS,4,4.0,16.0,Credit Card,DK/NS,2023-08-25
219,TXN_9250710,Salad,1,5.0,5.0,Cash,In-store,2023-05-28
220,TXN_7058377,Juice,1,3.0,3.0,DK/NS,Takeaway,2023-04-30
221,TXN_6766492,Salad,1,5.0,5.0,DK/NS,DK/NS,2023-01-14
222,TXN_9879996,Coffee,4,2.0,8.0,Digital Wallet,In-store,2023-03-01
223,TXN_4291940,Cake,3,3.0,9.0,Credit Card,In-store,2023-11-13
224,TXN_7433461,Cookie,2,1.0,2.0,Digital Wallet,DK/NS,2023-07-09
225,TXN_4068262,Salad,2,5.0,10.0,Credit Card,DK/NS,2023-05-13
226,TXN_5761073,Cookie,1,1.0,1.0,Cash,In-store,
227,TXN_5047447,Salad,1,5.0,5.0,Digital Wallet,Takeaway,2023-12-27
228,TXN_6623508,Cookie,5,1.0,5.0,Digital Wallet,Takeaway,2023-05-18
229,TXN_2651216,DK/NS,3,4.0,12.0,DK/NS,DK/NS,2023-04-04
230,TXN_9350833,Cake,1,3.0,3.0,Cash,Takeaway,2023-01-17
231,TXN_8377564,Cake,5,3.0,15.0,DK/NS,In-store,2023-07-14
232,TXN_7031118,Salad,1,5.0,5.0,Credit Card,DK/NS,2023-03-29
233,TXN_2230167,Cake,4,3.0,12.0,Digital Wallet,Takeaway,2023-09-22
234,TXN_6446616,Tea,3,1.5,4.5,DK/NS,DK/NS,2023-09-30
235,TXN_1721827,Cake,4,3.0,12.0,Digital Wallet,DK/NS,2023-08-22
236,TXN_6334895,Smoothie,1,4.0,4.0,Credit Card,DK/NS,2023-07-27
237,TXN_7077119,DK/NS,1,4.0,4.0,Digital Wallet,In-store,2023-12-30
239,TXN_4700144,Coffee,4,2.0,8.0,DK/NS,In-store,2023-12-21
240,TXN_5526852,Sandwich,5,4.0,20.0,Digital Wallet,In-store,2023-09-28
241,TXN_6846228,Salad,3,5.0,15.0,DK/NS,In-store,2023-11-16
242,TXN_8570890,Juice,4,3.0,12.0,DK/NS,DK/NS,2023-04-14
243,TXN_3205009,Tea,2,1.5,3.0,Cash,In-store,2023-01-03
244,TXN_3786188,Tea,3,1.5,4.5,Credit Card,In-store,2023-10-20
245,TXN_4530804,Coffee,4,2.0,8.0,DK/NS,DK/NS,2023-01-12
246,TXN_9642066,Sandwich,3,4.0,12.0,Credit Card,In-store,2023-08-31
247,TXN_7328294,Juice,2,3.0,6.0,Cash,DK/NS,2023-07-07
248,TXN_1908636,Tea,2,1.5,3.0,DK/NS,DK/NS,
249,TXN_9238066,Tea,5,1.5,7.5,Digital Wallet,In-store,2023-09-15
250,TXN_5415901,Cake,2,3.0,6.0,Digital Wallet,DK/NS,2023-10-21
251,TXN_6714420,DK/NS,2,3.0,6.0,Credit Card,Takeaway,2023-03-30
252,TXN_6616971,Juice,2,3.0,6.0,Digital Wallet,Takeaway,2023-09-02
253,TXN_7803615,Salad,3,5.0,15.0,Cash,In-store,2023-12-13
254,TXN_7549542,Cookie,5,1.0,5.0,DK/NS,Takeaway,
255,TXN_3544789,Tea,4,1.5,6.0,DK/NS,In-store,2023-07-14
256,TXN_1583597,Salad,1,5.0,5.0,Cash,In-store,2023-05-10
257,TXN_8472308,Cookie,2,1.0,2.0,Digital Wallet,Takeaway,2023-08-19
258,TXN_1967565,Smoothie,5,4.0,20.0,Credit Card,Takeaway,2023-03-31
259,TXN_2029497,Sandwich,2,4.0,8.0,Cash,Takeaway,2023-01-06
260,TXN_8929774,DK/NS,3,3.0,9.0,Cash,DK/NS,2023-10-02
261,TXN_5003018,Cookie,4,1.0,4.0,Digital Wallet,DK/NS,
262,TXN_7852990,Sandwich,5,4.0,20.0,Digital Wallet,Takeaway,2023-07-10
263,TXN_2534066,Salad,2,5.0,10.0,Cash,DK/NS,2023-10-13
264,TXN_2059647,Tea,1,1.5,1.5,Digital Wallet,In-store,2023-05-29
265,TXN_2485183,Smoothie,5,4.0,20.0,Cash,In-store,2023-07-07
266,TXN_7374846,Sandwich,1,4.0,4.0,Credit Card,DK/NS,2023-05-29
267,TXN_9401522,Sandwich,4,4.0,16.0,Digital Wallet,In-store,2023-11-16
268,TXN_8250651,Sandwich,4,4.0,16.0,Digital Wallet,In-store,2023-03-13
269,TXN_7191245,Cake,4,3.0,12.0,DK/NS,Takeaway,2023-05-22
270,TXN_8982764,Cake,5,3.0,15.0,Digital Wallet,Takeaway,2023-11-23
271,TXN_8669422,DK/NS,4,3.0,12.0,Cash,Takeaway,2023-10-15
272,TXN_1153869,Smoothie,5,4.0,20.0,Credit Card,Takeaway,2023-11-03
273,TXN_5043774,Sandwich,3,4.0,12.0,Cash,DK/NS,2023-06-08
274,TXN_1746320,Salad,1,5.0,5.0,Cash,DK/NS,2023-11-14
275,TXN_1077129,Cookie,1,1.0,1.0,DK/NS,In-store,2023-09-12
276,TXN_4865338,Sandwich,4,4.0,16.0,DK/NS,In-store,2023-11-26
277,TXN_5616583,Smoothie,1,4.0,4.0,DK/NS,DK/NS,2023-10-13
278,TXN_2078474,Cookie,2,1.0,2.0,DK/NS,Takeaway,2023-11-03
279,TXN_2130245,Smoothie,5,4.0,20.0,Credit Card,DK/NS,2023-11-13
281,TXN_9076216,Cake,1,3.0,3.0,Cash,DK/NS,2023-12-17
282,TXN_6371987,Tea,5,1.5,7.5,DK/NS,Takeaway,2023-03-13
283,TXN_9913877,Coffee,2,2.0,4.0,Credit Card,DK/NS,2023-05-09
284,TXN_2084377,Smoothie,1,4.0,4.0,Credit Card,DK/NS,2023-10-22
285,TXN_1842675,Cookie,4,1.0,4.0,Credit Card,Takeaway,2023-06-23
286,TXN_8605813,Cookie,1,1.0,1.0,DK/NS,DK/NS,2023-06-30
287,TXN_9755352,Sandwich,5,4.0,20.0,DK/NS,In-store,2023-05-13
288,TXN_7550498,Juice,5,3.0,15.0,DK/NS,In-store,
289,TXN_2305908,Coffee,4,2.0,8.0,Cash,DK/NS,2023-04-25
290,TXN_6953697,DK/NS,3,4.0,12.0,DK/NS,Takeaway,2023-05-27
291,TXN_3495950,Tea,4,1.5,6.0,Credit Card,In-store,2023-02-19
292,TXN_7557340,Tea,5,1.5,7.5,Credit Card,In-store,2023-12-11
293,TXN_1157817,Smoothie,1,4.0,4.0,Digital Wallet,In-store,2023-04-25
294,TXN_2020318,Tea,3,1.5,4.5,Digital Wallet,In-store,2023-10-12
295,TXN_8692094,Coffee,5,2.0,10.0,DK/NS,Takeaway,2023-08-30
296,TXN_5307411,Cake,3,3.0,9.0,Digital Wallet,Takeaway,2023-10-21
297,TXN_9703120,Coffee,3,2.0,6.0,Credit Card,DK/NS,2023-11-02
298,TXN_1289133,Juice,1,3.0,3.0,Cash,DK/NS,2023-09-19
299,TXN_2031459,Cake,3,3.0,9.0,Cash,Takeaway,2023-07-04
300,TXN_1333682,Smoothie,1,4.0,4.0,Digital Wallet,DK/NS,2023-01-28
301,TXN_2256622,Cookie,2,1.0,2.0,Cash,In-store,2023-10-04
302,TXN_1623966,Tea,2,1.5,3.0,Cash,Takeaway,
303,TXN_4912930,Smoothie,3,4.0,12.0,Credit Card,In-store,2023-02-26
304,TXN_4942692,Coffee,2,2.0,4.0,DK/NS,Takeaway,2023-01-15
305,TXN_3723007,Tea,3,1.5,4.5,Digital Wallet,In-store,2023-05-18
306,TXN_7922392,Sandwich,3,4.0,12.0,DK/NS,DK/NS,2023-05-03
307,TXN_7498727,Salad,3,5.0,15.0,Cash,DK/NS,2023-11-06
308,TXN_1222338,Cookie,1,1.0,1.0,DK/NS,In-store,2023-10-11
309,TXN_6878866,Smoothie,3,4.0,12.0,Credit Card,DK/NS,2023-02-25
310,TXN_1260335,Cookie,4,1.0,4.0,Digital Wallet,In-store,
311,TXN_9223242,Smoothie,2,4.0,8.0,DK/NS,DK/NS,2023-09-10
312,TXN_6244211,Smoothie,2,4.0,8.0,DK/NS,DK/NS,2023-08-11
313,TXN_5446858,Cookie,1,1.0,1.0,Cash,In-store,2023-11-07
314,TXN_4612864,Tea,3,1.5,4.5,DK/NS,DK/NS,2023-02-14
315,TXN_5411381,Cookie,1,1.0,1.0,DK/NS,DK/NS,2023-04-28
316,TXN_3047598,Cookie,1,1.0,1.0,DK/NS,DK/NS,2023-09-06
317,TXN_5754317,Coffee,2,2.0,4.0,Credit Card,Takeaway,2023-01-10
318,TXN_7496926,Sandwich,3,4.0,12.0,DK/NS,In-store,2023-04-23
319,TXN_1726858,Smoothie,3,4.0,12.0,Cash,In-store,
320,TXN_7559388,Salad,4,5.0,20.0,Digital Wallet,Takeaway,2023-02-26
321,TXN_8540499,Cookie,3,1.0,3.0,Cash,In-store,2023-01-22
322,TXN_4225756,Cookie,3,1.0,3.0,DK/NS,In-store,2023-03-10
323,TXN_6795640,Cookie,4,1.0,4.0,Digital Wallet,Takeaway,2023-01-28
324,TXN_6702428,Coffee,5,2.0,10.0,Cash,Takeaway,2023-08-11
325,TXN_8955259,DK/NS,2,4.0,8.0,Credit Card,DK/NS,2023-11-18
326,TXN_4639319,Coffee,5,2.0,10.0,Cash,DK/NS,2023-01-09
327,TXN_5997803,Coffee,5,2.0,10.0,DK/NS,In-store,2023-12-03
328,TXN_1340956,Coffee,4,2.0,8.0,DK/NS,DK/NS,2023-10-26
329,TXN_1259671,Sandwich,3,4.0,12.0,Digital Wallet,In-store,2023-10-08
330,TXN_8319993,Juice,1,3.0,3.0,Digital Wallet,DK/NS,2023-08-06
